,Nombre,Country,Source,Latitud,Longitud,Elevation,Fecha,Tipo,Comment,2H,18O,H3,H3Error,ExcessDeuterio,Conductivity,Precipitation,TempAir,TempWater,Vp,
0,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1978,Precipitation,,,,,,,,45,13.2,,12.3,
1,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/1998,Precipitation,,,,,,,,,,,,
2,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/1990,Precipitation,,,,,,,,,,,,
3,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/1990,Precipitation,,,,,,,,22,14.4,,11.8,
4,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/1990,Precipitation,,,,,,,,36,13.6,,11.2,
5,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/1990,Precipitation,,,,,,,,36,13.8,,10.9,
6,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/1990,Precipitation,,,,,,,,76,13.6,,11.4,
7,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/1990,Precipitation,,,,,,,,242,13.4,,12.7,
8,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1990,Precipitation,,,,,,,,85,13.9,,12.1,
9,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/1990,Precipitation,,,,,,,,97,13.5,,12.1,
10,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/1998,Precipitation,,,,,,,,,,,,
11,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/1998,Precipitation,,,,,,,,,,,,
12,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/1998,Precipitation,,,,,,,,,,,,
13,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/1998,Precipitation,,,,,,,,,,,,
14,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/2003,Precipitation,,-104,-14.65,2.04,,13.2,,79,12.8,,11.9,
15,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/1998,Precipitation,,,,,,,,,,,,
16,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/1998,Precipitation,,-82.2,-11.53,2.71,,10.04,,85,12.9,,,
17,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/1998,Precipitation,,-46.3,-7.49,3.32,,13.62,,52,14.6,,,
18,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/1998,Precipitation,,-37.2,-6.2,3.63,,12.4,,111,14.6,,,
19,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/1998,Precipitation,,-51.2,-8.04,2.38,,13.12,,96,14.5,,,
20,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1998,Precipitation,,-65.1,-9.58,2.65,,11.54,,96,14.1,,,
21,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/1998,Precipitation,,-47.7,-7.64,3.01,,13.42,,121,13.1,,,
22,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/1999,Precipitation,,-31.3,-5.58,2.7,,13.3,,42,13.4,,12,
23,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/1999,Precipitation,,-64.3,-9.06,2.41,,8.22,,95,13.5,,12.4,
24,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/1999,Precipitation,,-32.05,-5.68,2.11,,13.43,,71,13.4,,12.3,
25,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/1999,Precipitation,,-105.15,-14.1,2.44,,7.65,,71,13.8,,12.4,
